SAMPN,PERNO,PLANO,ACTNO,APURP,Act_Cat,LAT,LON,MODE,PNAME,place_type
2844094,2,2,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.022995,-117.316908,Bike,PRIVATE RESIDENCE,Other
2852051,1,4,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.6439809,-117.70166,Rental Car/Vehicle,RENTAL PROPERTY,Other
2857402,1,5,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.814093,-117.957685,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
2872484,1,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.2637937,-116.8399853,,PRIVATE RESIDENCE,Other
2879126,5,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.7075282,-117.8853929,,PRIVATE RESIDENCE,Other
2903800,3,2,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,36.076441,-119.029082,Walk,PRIVATE RESIDENCE,Other
2913106,2,2,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.3202903,-119.1087457,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
2913106,3,2,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.3202903,-119.1087457,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
2932927,3,3,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,37.36315,-118.394956,Walk,ANNE MARIE'S,Other
2932927,4,3,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,37.36315,-118.394956,Walk,ANNE MARIE'S,Other
2942995,1,3,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.1252066,-118.3965345,Auto / Van / Truck Driver,COON COUNTY DISPOSAL,Other
2964192,2,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,36.787503,-119.828096,,PRIVATE RESIDENCE,Other
2964192,2,4,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,36.787503,-119.828096,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
2990171,2,6,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,38.338261,-121.964084,Auto / Van / Truck Driver,PICK-UP LOCATION,Other
3006244,1,3,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,37.8587015,-122.2802434,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
3008201,1,5,2,ALL OTHER ACTIVITIES AT MY HOME,Personal,37.857071,-122.267396,Walk,BERKELEY BOWL,Other
3017740,1,5,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,37.312222,-121.899661,Walk,STREET,Other
3017740,1,6,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,37.308394,-121.890025,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
3020620,2,6,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,37.3316996,-121.9303108,Auto / Van / Truck Passenger,DRIVING PRACTICE,Other
3020620,3,5,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,37.3316996,-121.9303108,Auto / Van / Truck Driver,DRIVING PRACTICE,Other
3029533,1,13,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,37.4708479,-120.9036364,Auto / Van / Truck Passenger,SWEET POTATO FIELD,Other
3045463,2,4,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,39.0827174,-122.7902051,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
3048768,3,3,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,41.7546429,-124.1660971,Auto / Van / Truck Driver,SOLID WASTE MANAGEMENT AUTHORITY,Other
3051640,1,5,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,38.520708,-122.315455,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
3051640,2,7,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,38.520708,-122.315455,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
3056679,4,3,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,38.345484,-121.94832,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
3063885,1,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,40.3138786,-121.0012929,,PRIVATE RESIDENCE,Other
3063885,2,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,40.3138786,-121.0012929,,PRIVATE RESIDENCE,Other
3063957,1,2,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,39.7260802,-121.8631659,Walk,PRIVATE RESIDENCE,Other
3068458,2,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,37.6950766,-122.0841319,,2ND HOME,Other
3068871,1,4,2,ALL OTHER ACTIVITIES AT MY HOME,Personal,39.758957,-121.860747,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
3069365,2,2,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,39.748138,-121.825737,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
3069365,2,2,2,ALL OTHER ACTIVITIES AT MY HOME,Personal,39.748138,-121.825737,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
3069365,2,2,3,ALL OTHER ACTIVITIES AT MY HOME,Personal,39.748138,-121.825737,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
3070959,2,6,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,38.158347,-121.697156,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
3072333,2,2,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,41.0889082,-122.0948884,Auto / Van / Truck Driver,"SHASTA NATIONAL FOREST, CASTELLA, CA 96017",Other
3075835,1,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,38.6262414,-122.8726256,,PROPERTY,Other
3075835,2,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,38.6262414,-122.8726256,,PROPERTY,Other
3076746,1,1,3,ALL OTHER ACTIVITIES AT MY HOME,Personal,39.1907278,-120.1012488,,PRIVATE RESIDENCE,Other
3076746,1,3,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,39.1907278,-120.1012488,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
3076746,1,3,3,ALL OTHER ACTIVITIES AT MY HOME,Personal,39.1907278,-120.1012488,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
3081121,2,7,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,38.916267,-120.00174,Auto / Van / Truck Driver,MARCIA SAROSIK DANCE STUDIO,Other
3083405,4,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,32.8024998,-117.2581763,,PRIVATE RESIDENCE,Other
3083405,4,5,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,32.8024998,-117.2581763,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
3083405,4,8,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,32.8024998,-117.2581763,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
7000983,1,2,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.308278,-119.0051,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
7000983,1,4,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.308278,-119.0051,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
7000983,1,6,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.308278,-119.0051,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
7000983,1,8,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.308278,-119.0051,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
7000983,2,2,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.308278,-119.0051,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
7000983,2,4,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.308278,-119.0051,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
7000983,2,6,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.308278,-119.0051,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
7000983,2,8,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.308278,-119.0051,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
7000983,3,2,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,35.308278,-119.0051,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
